StationID	Y	M	D	TMEAN	TMAX	TMIN	RM	WS	SSD
58321	2010	6	5	23.8	28	19.3	65	1.8	19.8 
58321	2010	6	6	24.5	29.4	19.2	56	2.1	27.6 
58321	2010	6	7	25.4	30.4	19.4	49	2.2	28.2 
58321	2010	6	8	19.9	27	16.7	86	2.6	9.3 
58321	2010	6	9	19	19.9	17.4	95	2.4	9.3 
58321	2010	6	10	19.1	20.3	18.1	93	2.7	9.3 
58321	2010	6	11	22.3	26.8	19.2	74	2.2	13.4 
58321	2010	6	12	25.3	30.5	20.6	69	1.1	24.3 
58321	2010	6	13	25.9	30.9	21.7	76	1.7	16.8 
58321	2010	6	14	24.9	27.9	23.5	78	1.9	11.0 
58321	2010	6	15	25.5	30.3	20.4	76	1.6	28.3 
58321	2010	6	16	27.6	32.2	22.9	72	1.7	25.6 
58321	2010	6	17	28.4	32.3	25.5	76	2.4	19.8 
58321	2010	6	18	28.2	32.7	23.7	78	2	29.8 
58321	2010	6	19	29.9	33.9	25.7	68	1.8	12.7 
58321	2010	6	20	28.7	31.9	25.6	57	2.7	24.5 
58321	2010	6	21	27.6	31.3	24.2	62	1.9	25.3 
58321	2010	6	22	27.6	32.1	22.5	70	2.5	22.1 
58321	2010	6	23	27.8	31.7	24.2	76	1.4	9.3 
58321	2010	6	24	27.9	31.3	25.5	68	2.8	9.3 
58321	2010	6	25	26.6	30.1	23.4	68	3.6	26.9 
58321	2010	6	26	26.9	30.7	22.7	65	2.7	24.5 
58321	2010	6	27	28	32	23.3	66	1.9	27.5 
58321	2010	6	28	28.9	32.5	26.1	75	2.4	22.1 
58321	2010	6	29	29	33.4	26.1	80	2.5	20.0 
58321	2010	6	30	30.3	35.3	26.2	75	2.3	30.5 
58321	2010	7	1	31.8	34.8	29.1	71	3.8	20.3 
58321	2010	7	2	32.1	35.5	29.1	71	2.7	22.6 
58321	2010	7	3	29.6	33.7	25.9	85	1	15.3 
58321	2010	7	4	28.2	30.7	26.9	89	1.7	9.3 
58321	2010	7	5	27.1	28.3	25.4	90	1.2	9.3 
58321	2010	7	6	28.1	33.8	24.2	83	1.3	24.6 
58321	2010	7	7	29.7	33.7	25.6	78	1.6	27.6 
58321	2010	7	8	27.9	31.3	25.8	83	2.3	9.3 
58321	2010	7	9	27.2	31.4	25.6	88	2	17.9 
58321	2010	7	10	26.5	29.7	25.4	93	2.6	9.3 
58321	2010	7	11	24.2	25.9	23.5	91	1.5	9.3 
58321	2010	7	12	24.1	24.6	22.8	99	1.7	9.3 
58321	2010	7	13	24.4	25.6	22.8	96	1.5	9.3 
58321	2010	7	14	26.8	29.4	24.2	82	1.9	9.9 
58321	2010	7	15	25.8	28.4	23.7	91	1.9	9.3 
58321	2010	7	16	24.7	27	22.5	97	1.7	9.3 
58321	2010	7	17	28.1	31.2	25.4	88	2.9	10.6 
58321	2010	7	18	28.7	33.4	25.9	85	1.8	14.6 
58321	2010	7	19	29.4	34.2	25.8	78	3.1	25.4 
58321	2010	7	20	26.8	31.8	23.8	92	1.2	12.0 
58321	2010	7	21	26.2	28.7	25	94	1.5	9.3 
58321	2010	7	22	26.8	32.5	24.3	88	1.3	14.0 
58321	2010	7	23	27.7	31.4	24.4	86	1.8	13.5 
58321	2010	7	24	28.3	34.4	26.1	86	2.5	19.1 
58321	2010	7	25	28.8	33.3	25.2	79	2.1	26.5 
58321	2010	7	26	29.3	33.1	25.8	76	2	23.2 
58321	2010	7	27	28.9	33.1	25.5	76	1.9	26.0 
58321	2010	7	28	29.9	34.5	26	77	2	26.5 
58321	2010	7	29	30.9	35.6	27	76	2.2	24.5 
58321	2010	7	30	30.2	35.5	26.8	76	2.6	25.2 
58321	2010	7	31	30.3	34.5	26.7	77	3.5	29.2 
58321	2010	8	1	29.9	35.4	28.1	77	1.8	21.9 
58321	2010	8	2	32.7	37.7	28.2	71	1.8	28.5 
58321	2010	8	3	33.3	37.6	28.1	69	1.9	30.6 
58321	2010	8	4	34	38.6	29	67	1.8	30.7 
58321	2010	8	5	33	38.8	27.7	71	2.4	17.8 
58321	2010	8	6	30.1	34.4	27.3	75	2.6	20.9 
58321	2010	8	7	30.4	34.6	26.6	76	2.9	27.3 
58321	2010	8	8	30.4	35	26.3	66	2.7	30.0 
58321	2010	8	9	30.3	34.9	25.2	67	2	29.4 
58321	2010	8	10	31	35.8	26.9	69	1.6	27.3 
58321	2010	8	11	32	36.7	28.3	71	2.8	25.3 
58321	2010	8	12	33.5	37.8	29.8	71	2.8	23.3 
58321	2010	8	13	33.7	37.5	30.5	65	3.8	28.4 
58321	2010	8	14	31.9	37.7	26.9	72	2.9	25.7 
58321	2010	8	15	28.5	33	23.5	81	1.5	17.9 
58321	2010	8	16	24.9	26.3	22.9	95	1	9.1 
58321	2010	8	17	28.8	33.5	24.6	79	1.2	26.5 
58321	2010	8	18	29.9	35.7	26.7	81	1.6	26.9 
58321	2010	8	19	28.8	33.9	25	83	2.2	27.6 
58321	2010	8	20	29	32.7	25.6	76	3.9	29.0 
58321	2010	8	21	30.6	34.9	26.5	73	1.5	28.7 
58321	2010	8	22	31.2	35.4	27.5	71	0.8	22.2 
58321	2010	8	23	27.4	31.9	25.3	83	2.2	9.0 
58321	2010	8	24	27.4	32	23.8	86	1.8	10.7 
58321	2010	8	25	23.1	24.3	22.1	92	1.7	8.9 
58321	2010	8	26	22.1	23.3	21.3	94	2.2	8.9 
58321	2010	8	27	22.1	23.1	21.1	97	1.4	8.9 
58321	2010	8	28	24.4	28.7	21.8	84	1.8	12.5 
58321	2010	8	29	25.6	30.8	21.4	76	1.3	23.3 
58321	2010	8	30	26.9	31.9	22.3	71	1.4	24.1 
58321	2010	8	31	27.7	31.6	24.2	75	2.7	21.8 
58321	2010	9	1	26.8	29.3	25.4	83	2.9	10.9 
58321	2010	9	2	25.7	27.3	24.7	92	3.2	8.7 
58321	2010	9	3	23.2	25.3	21.9	97	2.2	8.7 
58321	2010	9	4	23.3	26.8	21.4	95	1.5	13.1 
58321	2010	9	5	25.9	29.9	22.9	87	1.8	10.6 
58321	2010	9	6	28	32.2	24.7	83	1.6	15.9 
58321	2010	9	7	27.5	31.3	25.6	88	2	8.6 
58321	2010	9	8	25.1	27.6	23.5	83	2.2	8.5 
58321	2010	9	9	24.9	27	23.2	89	1.8	8.5 
58321	2010	9	10	24.2	26.9	23	90	2.5	8.4 
58321	2010	9	11	23.4	25.8	21.7	91	1.9	8.4 
58321	2010	9	12	24.8	29.4	21.7	80	1.3	9.1 
58321	2010	9	13	25.2	27.2	23.7	85	1.6	8.3 
58321	2010	9	14	24.4	27.9	23	94	2	8.3 
58321	2010	9	15	24.4	27.6	22.3	90	1.4	8.2 
58321	2010	9	16	26.6	31.2	22.4	84	2	19.2 
58321	2010	9	17	27.5	32.7	23.4	77	1.7	20.1 
58321	2010	9	18	27.4	32.1	23	71	1.6	21.2 
58321	2010	9	19	28	33.2	23	73	1.6	21.6 
58321	2010	9	20	29.4	34.5	25.2	75	2.1	21.8 
58321	2010	9	21	29.7	34.8	25.9	75	2.9	21.7 
58321	2010	9	22	16.7	28.1	14.8	93	3.9	7.9 
58321	2010	9	23	18.1	22.3	14.7	71	2.2	15.8 
58321	2010	9	24	19.8	24.7	14.9	69	1.8	16.9 
58321	2010	9	25	20.3	22.9	18.5	75	2.3	7.8 
58321	2010	9	26	19	20.4	17.8	89	1.7	7.7 
58321	2010	9	27	19.5	22.3	18	90	0.8	7.7 
