# ALL AVAILABLE OUTPUT SETTINGS.
# Last updated: 2017-7-12
# MODULECLASS: MODULE CLASS, e.g., PET.
# OUTPUTID: VARIABLE NAME FOR OUTPUT
# DESCRIPTION: DESCRIPTION of OUTPUT
# UNIT: DEFAULT UNIT
# TYPE: DATA AGGREGATION TYPE, e.g., SUM, AVE, MAX, NONE, etc. Types divided by '-', e.g., "SUM-AVE".
# STARTTIME: DATA DERIVED TIME START, FORMAT MUST BE "YYYY-MM-DD HH:MM:SS", e.g., 2011-01-01 00:00:00 
# ENDTIME: DATA DERIVED TIME END, SEE STARTTIME
# SUBBASIN: SELECTED SUBBASIN ID(s). 'ALL', 'OUTLET' ARE SELECTABLE, OR SUBBASIN ID NUMBERS SPLIT BY '-',0 IS EQUAL TO 'ALL'.
# FILENAME: OUTPUT FILENAME WITH SUFFIX, e.g., txt, asc, tif. FINAL FILENAME WILL BE APPENDED BY TYPE!
# USE：OUTPUT OR NOT. DEFAULT IS 0, i.e., NOT USED. CHANGE TO 1 IF IT IS WANTED!

MODULE_CLASS,OUTPUTID,DESCRIPTION,UNIT,TYPE,STARTTIME,ENDTIME,INTERVAL,INTERVAL_UNIT,SUBBASIN,FILENAME,USE
Nutrient,RMN2TL,nitrogen moving from the fresh organic (residue) to the nitrate(80%) and active organic(20%) pools in soil profile,kg/ha,SUM,1970-01-01 00:00:00,1970-01-01 00:00:00,-9999,-9999,ALL,RMN2TL.tif,0
Nutrient,RMPTL,phosphorus moving from the fresh organic (residue) to the labile(80%) and organic(20%) pools in soil profile,kg/ha,SUM,1970-01-01 00:00:00,1970-01-01 00:00:00,-9999,-9999,ALL,RMPTL.tif,0
Nutrient,RWNTL,nitrogen moving from active organic to stable organic pool in soil profile,kg/ha,SUM,1970-01-01 00:00:00,1970-01-01 00:00:00,-9999,-9999,ALL,RWNTL.tif,0
Nutrient,WDNTL,nitrogen lost from nitrate pool by denitrification in soil profile,kg/ha,SUM,1970-01-01 00:00:00,1970-01-01 00:00:00,-9999,-9999,ALL,WDNTL.tif,0
Nutrient,RMP1TL,phosphorus moving from the labile mineral pool to the active mineral pool in the soil profile,kg/ha,SUM,1970-01-01 00:00:00,1970-01-01 00:00:00,-9999,-9999,ALL,RMP1TL.tif,0
Nutrient,ROCTL,phosphorus moving from the active mineral pool to the stable mineral pool in the soil profile,kg/ha,SUM,1970-01-01 00:00:00,1970-01-01 00:00:00,-9999,-9999,ALL,ROCTL.tif,0
Nutrient,WSHD_DNIT,nitrogen lost from nitrate pool due to denitrification in watershed,kg/ha,NONE,1970-01-01 00:00:00,1970-01-01 00:00:00,-9999,-9999,OUTLET,WSHD_DNIT.txt,0
Nutrient,WSHD_HMN,nitrogen moving from active organic to nitrate pool in watershed,kg/ha,NONE,1970-01-01 00:00:00,1970-01-01 00:00:00,-9999,-9999,OUTLET,WSHD_HMN.txt,0
Nutrient,WSHD_HMP,phosphorus moving from organic to labile pool in watershed,kg/ha,NONE,1970-01-01 00:00:00,1970-01-01 00:00:00,-9999,-9999,OUTLET,WSHD_HMP.txt,0
Nutrient,WSHD_RMN,nitrogen moving from fresh organic (residue) to nitrate and active organic pools in watershed,kg/ha,NONE,1970-01-01 00:00:00,1970-01-01 00:00:00,-9999,-9999,OUTLET,WSHD_RMN.txt,0
Nutrient,WSHD_RMP,phosphorus moving from fresh organic (residue) to labile and organic pools in watershed,kg/ha,NONE,1970-01-01 00:00:00,1970-01-01 00:00:00,-9999,-9999,OUTLET,WSHD_RMP.txt,0
Nutrient,WSHD_RWN,nitrogen moving from active organic to stable organic pool in watershed,kg/ha,NONE,1970-01-01 00:00:00,1970-01-01 00:00:00,-9999,-9999,OUTLET,WSHD_RWN.txt,0
Nutrient,WSHD_NITN,nitrogen moving from the NH4 to the NO3 pool by nitrification in the watershed,kg/ha,NONE,1970-01-01 00:00:00,1970-01-01 00:00:00,-9999,-9999,OUTLET,WSHD_NITN.txt,0
Nutrient,WSHD_VOLN,average annual amount if nitrogen lost by ammonia volatilization in watershed,kg/ha,NONE,1970-01-01 00:00:00,1970-01-01 00:00:00,-9999,-9999,OUTLET,WSHD_VOLN.txt,0
Nutrient,WSHD_PAL,phosphorus moving from labile mineral to active mineral pool in watershed,kg/ha,NONE,1970-01-01 00:00:00,1970-01-01 00:00:00,-9999,-9999,OUTLET,WSHD_PAL.txt,0
Nutrient,WSHD_PAS,phosphorus moving from active mineral to stable mineral pool in watershed,kg/ha,NONE,1970-01-01 00:00:00,1970-01-01 00:00:00,-9999,-9999,OUTLET,WSHD_PAS.txt,0
